,power_power_plant,total_modules,modules_amount,tables_display,comprimento_mesa,largura_mesa,tables_amount,cobre_nu,haste,elcectodes_connector,foundation_connector,splitbolt
601,973.62,1803,"[255, 258]","[1.0, 6.0]",98119.0,77579.0,7.0,659.753,41.0,41.0,38.0,41.0
602,975.24,1806,[258.0],[7],98119.0,77579.0,7.0,659.753,41.0,41.0,38.0,41.0
603,976.86,1809,"[258, 261]","[6.0, 1.0]",99260.0,77579.0,7.0,665.458,41.0,41.0,38.0,41.0
604,978.48,1812,"[258, 261]","[5.0, 2.0]",99260.0,77579.0,7.0,665.458,41.0,41.0,38.0,41.0
605,980.1,1815,"[258, 261]","[4.0, 3.0]",99260.0,77579.0,7.0,665.458,41.0,41.0,38.0,41.0
606,981.72,1818,[303.0],[6],115234.0,65782.0,6.0,604.5,34.0,34.0,32.0,34.0
607,983.34,1821,"[258, 261]","[2.0, 5.0]",99260.0,77579.0,7.0,665.458,41.0,41.0,38.0,41.0
608,984.96,1824,"[258, 261]","[1.0, 6.0]",99260.0,77579.0,7.0,665.458,41.0,41.0,38.0,41.0
609,986.58,1827,[261.0],[7],99260.0,77579.0,7.0,665.458,41.0,41.0,38.0,41.0
610,988.2,1830,"[261, 264]","[6.0, 1.0]",100401.0,77579.0,7.0,671.163,41.0,41.0,38.0,41.0
611,989.82,1833,"[261, 264]","[5.0, 2.0]",100401.0,77579.0,7.0,671.163,41.0,41.0,38.0,41.0
612,991.44,1836,[306.0],[6],116375.0,65782.0,6.0,609.064,34.0,34.0,32.0,34.0
613,993.06,1839,"[261, 264]","[3.0, 4.0]",100401.0,77579.0,7.0,671.163,41.0,41.0,38.0,41.0
614,994.68,1842,"[261, 264]","[2.0, 5.0]",100401.0,77579.0,7.0,671.163,41.0,41.0,38.0,41.0
615,996.3,1845,"[261, 264]","[1.0, 6.0]",100401.0,77579.0,7.0,671.163,41.0,41.0,38.0,41.0
616,997.92,1848,[264.0],[7],100401.0,77579.0,7.0,671.163,41.0,41.0,38.0,41.0
617,999.54,1851,"[264, 267]","[6.0, 1.0]",101542.0,77579.0,7.0,676.868,41.0,41.0,38.0,41.0
618,1001.16,1854,[309.0],[6],117516.0,65782.0,6.0,613.628,34.0,34.0,32.0,34.0
619,1002.78,1857,"[264, 267]","[4.0, 3.0]",101542.0,77579.0,7.0,676.868,41.0,41.0,38.0,41.0
620,1004.4,1860,"[264, 267]","[3.0, 4.0]",101542.0,77579.0,7.0,676.868,41.0,41.0,38.0,41.0
621,1006.02,1863,"[264, 267]","[2.0, 5.0]",101542.0,77579.0,7.0,676.868,41.0,41.0,38.0,41.0
622,1007.64,1866,"[264, 267]","[1.0, 6.0]",101542.0,77579.0,7.0,676.868,41.0,41.0,38.0,41.0
623,1009.26,1869,[267.0],[7],101542.0,77579.0,7.0,676.868,41.0,41.0,38.0,41.0
624,1010.88,1872,[312.0],[6],118657.0,65782.0,6.0,618.192,38.0,38.0,36.0,38.0
625,1012.5,1875,"[234, 237]","[7.0, 1.0]",90132.0,89376.0,8.0,643.412,38.0,38.0,35.0,38.0
626,1014.12,1878,"[234, 237]","[6.0, 2.0]",90132.0,89376.0,8.0,643.412,38.0,38.0,35.0,38.0
627,1015.74,1881,"[234, 237]","[5.0, 3.0]",90132.0,89376.0,8.0,643.412,38.0,38.0,35.0,38.0
628,1017.36,1884,"[234, 237]","[4.0, 4.0]",90132.0,89376.0,8.0,643.412,38.0,38.0,35.0,38.0
629,1018.98,1887,"[234, 237]","[3.0, 5.0]",90132.0,89376.0,8.0,643.412,38.0,38.0,35.0,38.0
630,1020.6,1890,[270.0],[7],102683.0,77579.0,7.0,682.573,41.0,41.0,38.0,41.0
631,1022.22,1893,"[234, 237]","[1.0, 7.0]",90132.0,89376.0,8.0,643.412,38.0,38.0,35.0,38.0
632,1023.84,1896,[237.0],[8],90132.0,89376.0,8.0,643.412,38.0,38.0,35.0,38.0
633,1025.46,1899,"[237, 240]","[7.0, 1.0]",91273.0,89376.0,8.0,649.117,38.0,38.0,35.0,38.0
634,1027.08,1902,"[237, 240]","[6.0, 2.0]",91273.0,89376.0,8.0,649.117,38.0,38.0,35.0,38.0
635,1028.7,1905,"[237, 240]","[5.0, 3.0]",91273.0,89376.0,8.0,649.117,38.0,38.0,35.0,38.0
636,1030.32,1908,[318.0],[6],120939.0,65782.0,6.0,627.32,38.0,38.0,36.0,38.0
637,1031.94,1911,[273.0],[7],103824.0,77579.0,7.0,688.278,41.0,41.0,38.0,41.0
638,1033.56,1914,"[237, 240]","[2.0, 6.0]",91273.0,89376.0,8.0,649.117,38.0,38.0,35.0,38.0
639,1035.18,1917,"[237, 240]","[1.0, 7.0]",91273.0,89376.0,8.0,649.117,38.0,38.0,35.0,38.0
640,1036.8,1920,[240.0],[8],91273.0,89376.0,8.0,649.117,38.0,38.0,35.0,38.0
641,1038.42,1923,"[240, 243]","[7.0, 1.0]",92414.0,89376.0,8.0,654.822,38.0,38.0,35.0,38.0
642,1040.04,1926,[321.0],[6],122080.0,65782.0,6.0,631.884,38.0,38.0,36.0,38.0
643,1041.66,1929,"[240, 243]","[5.0, 3.0]",92414.0,89376.0,8.0,654.822,38.0,38.0,35.0,38.0
644,1043.28,1932,[276.0],[7],104965.0,77579.0,7.0,693.983,41.0,41.0,38.0,41.0
645,1044.9,1935,"[240, 243]","[3.0, 5.0]",92414.0,89376.0,8.0,654.822,38.0,38.0,35.0,38.0
646,1046.52,1938,"[240, 243]","[2.0, 6.0]",92414.0,89376.0,8.0,654.822,38.0,38.0,35.0,38.0
647,1048.14,1941,"[240, 243]","[1.0, 7.0]",92414.0,89376.0,8.0,654.822,38.0,38.0,35.0,38.0
648,1049.76,1944,[243.0],[8],92414.0,89376.0,8.0,654.822,38.0,38.0,35.0,38.0
649,1051.38,1947,"[243, 246]","[7.0, 1.0]",93555.0,89376.0,8.0,660.527,38.0,38.0,35.0,38.0
650,1053.0,1950,"[243, 246]","[6.0, 2.0]",93555.0,89376.0,8.0,660.527,38.0,38.0,35.0,38.0
651,1054.62,1953,[279.0],[7],106106.0,77579.0,7.0,699.688,41.0,41.0,38.0,41.0
652,1056.24,1956,"[243, 246]","[4.0, 4.0]",93555.0,89376.0,8.0,660.527,38.0,38.0,35.0,38.0
653,1057.86,1959,"[243, 246]","[3.0, 5.0]",93555.0,89376.0,8.0,660.527,38.0,38.0,35.0,38.0
